=== SHEET: Mapeamento Entrega As Built ===
Total rows: 332

HEADERS: ["Número","Data","Entrega","Responsável","Edificação","Disciplina","Arquivo Entregue","Formato","Modelo?","Modelo Base","Modelo Final","Observações","Ação","Coluna5","Coluna2","Coluna3","Coluna1"]
ROW 40: [40,45883,"009. SM 33 - 14.08.2025","OCLE","Prédio Produção","Climatização","NEO-23001-AS-CLI 14.08-000-R18","rvt","Sim","NEO-23001-PE-CLI-000-R18","NEO-23001-AS-CLI-001-PROD1-R00","","","","","",""]
ROW 41: [41,45883,"009. SM 33 - 14.08.2025","OCLE","Prédio Produção","Utilidades","NEO-23001-AS-17-UTI-MO 14.08-001-R25","rvt","Sim","NEO-23001-PE-17-UTI-MO-001-R25","NEO-23001-AS-UTI-001-PROD1-R00","","","","","",""]
ROW 42: [42,45883,"009. SM 33 - 14.08.2025","OCLE","Prédio Produção","SDAI","NEO-23001-AS-SDA-003-MOD PRODUCAO 14.08-R03","rvt","Sim","NEO-23001-PE-ELE-001-MOD PRODUCAO-R03","NEO-23001-AS-ELE-001-PROD1-R00","","","","","",""]
ROW 43: [43,45883,"009. SM 33 - 14.08.2025","OCLE","Prédio Suporte","SDAI","NEO-23001-AS-SDA-004-MOD SUPORTE 14.08-R02","rvt","Sim","NEO-23001-PE-SDA-004-MOD SUPORTE-R02","NEO-23001-AS-SDA-001-SUPO1-R00","","","","","",""]
ROW 44: [44,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD PRODUCAO 28.08-R03","rvt","Sim","NEO-23001-PE-SDA-003-MOD PRODUCAO-R03","NEO-23001-AS-SDA-001-PROD1-R00","","","","","",""]
ROW 45: [45,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Suporte","Instalações Elétricas","NEO-23001-AS-ELE-001-MOD SUPORTE 28.08-R00","rvt","Sim","NEO-23001-PE-ELE-001-MOD SUPORTE-R00","NEO-23001-AS-ELE-001-SUPO1-R00","","","","","",""]
ROW 46: [46,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD PRODUCAO 28.08-R01","rvt","Sim","NEO-23001-PE-LOG-001-MOD PRODUCAO-R01","NEO-23001-AS-LOG-001-PROD1-R00","","","","","",""]
ROW 47: [47,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Suporte","CFTV e Lógica","NEO-23001-AS-LOG-001-MOD SUPORTE 28.08-R03","rvt","Sim","NEO-23001-PE-LOG-001-MOD SUPORTE-R03","NEO-23001-AS-LOG-001-SUPO1-R00","","","","","",""]
ROW 48: [48,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-16-PCI-MO-001- 28.08-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-001-R16","NEO-23001-AS-PCI-001-PROD1-R00","","","","","",""]
ROW 49: [49,45897,"010. SM 35 - 28.08.2025","OCLE","Prédio Produção","PCI","NEO-23001-AS-PCI-MO-002-SPRINKLER 28.08-R16","rvt","Sim","NEO-23001-PE-16-PCI-MO-002-R16","NEO-23001-AS-PCI-002-PROD1-R00","","","","","",""]
